date,name,address,icon,userComment,rating,tags,photos
"2022-12-25T06:33:38.771Z","Harriet’s Rooftop","8490 West Sunset Boulevard, Rooftop, West Hollywood, CA 90069, USA","bar","","","Bar#California#Cocktails#Hotel",""
"2022-12-25T06:33:11.650Z","Per L'Ora","649 S Olive St, Los Angeles, CA 90014-1635, United States","generic","","","California#Bar#Cocktails#Chic#Hotel#Italian",""
"2022-12-03T18:08:41.425Z","Parkside Cafe","43 Arenal Ave, Stinson Beach, CA 94970, United States","restaurant","","1","Bar#Coffee#California",""
"2022-11-26T00:21:45.254Z","Castello di Amorosa","4045 St Helena Hwy, Calistoga, CA 94515, United States","generic","","","Bar#California#Wine",""
"2022-11-25T19:44:15.164Z","Jax White Mule Diner","1122 1st St, Napa, CA 94559, USA","restaurant","","","Burger#California#Bar#Cocktails#Coffee#Friend#Afterwork#Beers#Restaurant#Tasty!#Tapas#Whisky#Wine#Terrace",""
"2022-10-09T00:18:26.899Z","TAQUERIA LAS BRASAS","Calle Camino Real a Cholula 2211, Bello Horizonte, 72735 Puebla, Pue., México","restaurant","","4.5","Already tried#Mexico#Restaurant#Tasty!",""
"2022-10-02T22:44:36.857Z","Baker's Keyboard Lounge","20510 Livernois Ave, Detroit, MI 48221, United States","bar","","","Bar#Cocktails#Chic#Detroit#Restaurant#Tasty!",""
"2022-09-19T00:52:37.445Z","El Rey Taquiza Artesanal","2491 Mission St, San Francisco, CA  94110, United States","generic","","","To try#Already tried#California#Mexico#Restaurant#Tasty!#Tapas",""
"2022-09-11T04:29:27.599Z","Doppio Zero San Francisco","395 Hayes St, San Francisco CA 94102","restaurant","","","To try#Bar#Already tried#California#Meat#Italian#Restaurant#Pizza#Tasty!",""
"2022-08-21T17:20:32.662Z","Sunshine","213 Stage Rd Pescadero, CA 94060 USA","generic","","","To try#Already tried#California#Coffee#Restaurant#Tasty!",""
"2022-07-24T00:06:15.431Z","Taco Boys","1015 S Rural Rd, Tempe, AZ  85281, United States","generic","","","To try#Already tried#Beers#Mexico#Tasty!",""
"2022-07-11T00:03:41.366Z","Telefèric Barcelona - Los Gatos","50 University Ave Los Gatos, CA 95030 USA","generic","","","To try#California#Cocktails#Restaurant#Tasty!#Tapas#Barcelona",""
"2022-06-15T08:13:26.673Z","Hotel Miramalfi","Via Quasimodo, 3, 84011 Amalfi SA, Italy","lodging","","","Bar#Italian#Hotel#Tasty!#Restaurant#With a view#Terrace",""
"2022-06-13T20:40:51.986Z","Nannarella, Osteria Dal 1930, Roma Trastevere","Piazza di S. Calisto, 5, 00153 Roma RM, Italy","restaurant","","2","Italian#Cocktails#Meat#Restaurant#Terrace#Tasty!#Pizza",""
"2022-06-13T07:43:14.896Z","Panella","Via Merulana, 54, 00185 Roma, Italy","restaurant","","","To try#Coffee#Italian",""
"2022-06-12T19:57:52.170Z","Alle Carrette","Via della Madonna dei Monti, 95, 00184 Roma, Italy","restaurant","","","Already tried#Cheese#Cocktails#Restaurant#Tasty!#Wine#Terrace#Italian",""
"2022-06-04T20:20:17.007Z","MyMy Coffee Shop","1500 California St, San Francisco, CA 94109, United States","restaurant","","","Brunch#California#Restaurant#Tasty!",""
"2022-06-03T03:32:42.831Z","Sushi Maruyama","279 Baldwin Ave, San Mateo, CA 94401, USA","restaurant","","","To try#Already tried#Afterwork#Sushi",""
"2022-05-22T21:54:21.059Z","Duarte's Tavern","202 Stage Rd, Pescadero, CA 94060, United States","bar","","","California#Bar#Cocktails#Restaurant#Tasty!#Terrace",""
"2022-05-22T21:53:21.389Z","Taqueria de Amigos","2974 S Norfolk St San Mateo, CA 94403-2018 USA","restaurant","","","California#Bar#Brunch#Restaurant#Tasty!#Terrace",""
"2022-05-14T19:40:48.116Z","State Street Market","170 State St, Los Altos, CA 94022, USA","restaurant","","","California#Cocktails#Burger#Bar#Already tried#Afterwork#Charcuterie#Cheese#Restaurant#Tasty!#Wine#Terrace#With a view",""
"2022-05-14T02:24:10.668Z","Domenico Winery","1697 Industrial Rd, San Carlos, CA 94070, USA","generic","","","Already tried#California#Bar#Brunch#Beers#Cheese#Charcuterie#Cocktails#Italian#Terrace#Tasty!#Wine",""
"2022-05-07T18:56:07.303Z","Paulista Brazilian Kitchen and Taproom","4239 Park Blvd, Oakland, CA 94602, USA","cafe","","","Brunch#California#Bar#Already tried#Restaurant#Tasty!#Terrace",""
"2022-04-22T21:29:45.376Z","La Colombe d'Or","La Colombe d'Or, 06570 Saint-Paul-de-Vence, France","lodging","","","Hotel",""
"2022-04-19T01:09:18.542Z","Rasselbock Kitchen & Beer Garden","4020 Atlantic Ave, Long Beach, CA 90807, USA","restaurant","","","Already tried#California#Bar#Burger#Cocktails#Restaurant#Tasty!#Terrace",""
"2022-04-15T02:11:21.349Z","Das Bierhauz","135 Castro St Mountain View, CA 94041 USA","restaurant","","","Beers#California#Terrace",""
"2022-03-09T12:10:21.144Z","Lighthouse cafe","90 St Georges St, Simon's Town, Cape Town, 7995, South Africa","restaurant","","","Burger#Brunch#Bar#Restaurant#Tasty!#Terrace",""
"2022-03-09T09:15:48.808Z","Blue Waters Hotel","175 Snell Parade, Marine Parade, Durban, 4056, South Africa","lodging","","","Restaurant#With a view#Terrace",""
"2022-03-09T09:13:40.497Z","The Old Biscuit Mill","375 Albert Rd, Woodstock, Cape Town, 7915, South Africa","shopping","","","Coffee#Restaurant#Tasty!#Brunch",""
"2022-03-08T16:04:20.008Z","La Parada V&A Waterfront","1 Dock Rd, V & A Waterfront, Cape Town, 8001, South Africa","restaurant","","","Already tried#Bar#Cocktails#Burger#Tasty!#Wine#With a view#Terrace#Restaurant",""
"2022-03-06T06:24:25.675Z","Alluvia Guest House","Stellenbosch South Africa","lodging","","","Hotel#Chic#Restaurant#Wine#With a view",""
"2022-03-06T06:23:32.009Z","Simonzicht Guest House","Stellenbosch 7600 South Africa","lodging","","","Cocktails#Chic#Hotel#Restaurant#Terrace#With a view",""
"2022-03-03T18:45:53.621Z","Le Pommier Wine Estate","Helshoogte Road, Helshoogte Rd, Banhoek, Stellenbosch, 7609, Afrique du Sud","lodging","","","Bar#Restaurant#Wine#With a view",""
"2022-02-27T00:21:09.239Z","Pacific Catch","711 Stanford Shopping Ctr Palo Alto, CA 94304 USA","generic","","","Already tried#Bar#Burger#California#Brunch#Beers#Cocktails#Restaurant#Tasty!",""
"2022-02-19T17:11:02.296Z","Buck Meadows","7647 CA-120 Groveland, CA 95321 USA","restaurant","","","Brunch#California#Coffee",""
"2022-01-30T19:28:42.237Z","Bill's Cafe","1115 Willow St San Jose, CA 95125 USA","restaurant","","","California#Bar#Brunch#Coffee#Cocktails#Restaurant",""
"2022-01-30T19:22:16.189Z","Old West Cinnamon Rolls","861 Dolliver St Pismo Beach, CA 93449 USA","supermarket","","","Brunch#California",""
"2022-01-30T19:14:07.654Z","Penny's All American Cafe'","1053 Price St, Pismo Beach, CA 93449, USA","cafe","","","Brunch#Coffee#California#Restaurant#Tasty!#Terrace",""
"2022-01-29T22:08:32.883Z","Wooly's","101 Pomeroy Ave Pismo Beach, CA 93449 USA","restaurant","","","Already tried#Bar#Brunch#Burger#California#Cocktails#Restaurant#Tasty!#With a view#Terrace",""
"2022-01-17T00:42:10.450Z","Bar of America","10040 Donner Pass Rd, Truckee, CA 96161, USA","bar","","","Bar#California#Restaurant#Tasty!#Whisky",""
"2022-01-15T03:43:21.528Z","La Fondue","14550 Big Basin Way, Saratoga, CA 95070, USA","restaurant","","","California#Chic#Cocktails#Restaurant#Tasty!",""
"2022-01-08T05:26:39.287Z","Barebottle Brewing Company","2520 Augustine Dr Santa Clara, CA 95054 USA","wine","","","Bar#Beers",""
"2022-01-04T00:56:39.356Z","Mable's Smoke House","44 Berry St Brooklyn, NY 11249 USA","restaurant","","","Bar#Beers#Restaurant#Tasty!",""
"2022-01-02T17:45:38.770Z","Jack's Stir Brew Coffee","146 Main St East Hampton, NY 11930 USA","cafe","","","Coffee",""
"2021-12-31T15:51:46.323Z","La Morada Restaurant","308 Willis Ave Bronx, NY 10454 USA","restaurant","","","Bar#Cocktails#Restaurant#Tapas#Mexico",""
"2021-12-31T05:18:12.911Z","Rocka Rolla","486 Metropolitan Ave Brooklyn, NY 11211 USA","bar","","","Bar",""
"2021-12-30T06:06:34.313Z","Burger Joint","119 W 56th St New York, NY 10019 USA","restaurant","","","Bar#Burger#Beers#Meat#Restaurant#Tasty!",""
"2021-12-29T23:52:30.753Z","Barcade","148 W 24th St New York, NY 10011 USA","restaurant","","","Bar#Burger#Cocktails#Restaurant#Tasty!",""
"2021-12-29T23:51:56.065Z","Kingston Hall","149 2nd Ave New York, NY 10003 USA","restaurant","","","Bar#Cocktails#Restaurant",""
"2021-12-29T23:48:53.751Z","Death and Co","433 E 6th St New York, NY 10009 USA","restaurant","","","Bar#Cocktails#Tasty!",""
"2021-12-29T23:46:02.037Z","Crif Dogs","113 St Marks Pl, New York, NY 10009, United States","restaurant","","","Burger#Bar#Restaurant#Tasty!",""
"2021-12-29T23:41:49.273Z","Goodnight Sonny","134 1st Ave New York, NY 10009 USA","restaurant","","","Bar#Restaurant",""
"2021-12-29T23:39:20.282Z","Angel's Share","8 Stuyvesant St, New York, NY 10003, United States","bar","","","Bar#Beers#Restaurant",""
"2021-12-29T23:38:31.462Z","McSorley's Old Ale House","15 E 7th St, New York, NY 10003, United States","bar","","","Bar",""
"2021-12-29T23:37:24.116Z","The Campbell Apartment","15 Vanderbilt Ave New York, NY 10017 USA","bar","","","Bar#Cocktails#Chic#Tasty!#Whisky#Wine",""
"2021-12-29T02:52:56.535Z","Carmine's","200 W 44th St, New York, NY 10036, United States","restaurant","","","Already tried#Bar#Cocktails#Meat#Restaurant#Tasty!#Wine#Italian",""
"2021-12-28T22:58:45.173Z","The Skylark","200 W 39th St, New York, NY 10018, United States","bar","","","Cocktails#Terrace#Tasty!#To try",""
"2021-12-28T15:47:35.771Z","Levain","167 W 74th St, New York, NY 10023, United States","restaurant","","","Already tried#Tasty!#Coffee#Brunch",""
"2021-12-25T04:26:21.336Z","Nusr-Et Steakhouse Beverly Hills","N Canon Dr Beverly Hills, CA 90210 USA","generic","","","Already tried#Burger#Brunch#California#Cocktails#Chic#Restaurant#Tasty!",""
"2021-12-24T17:26:15.637Z","Mott 32","3325 Las Vegas Blvd S Las Vegas, NV 89109 USA","restaurant","","","California#Restaurant#Tasty!#With a view",""
"2021-12-24T17:25:25.549Z","Mr. Mamas Breakfast And Lunch","5693 S Jones Blvd, Las Vegas, NV 89118, United States","restaurant","","","Coffee#Restaurant#Brunch",""
"2021-12-20T04:49:23.975Z","No Jealousy","1638 N Las Palmas Ave Los Angeles, CA 90028 USA","restaurant","","","Already tried#Bar#California#Burger#Cocktails#Brunch#Restaurant#Tasty!",""
"2021-12-20T04:47:45.432Z","Soho House West Hollywood","9200 Sunset Blvd, West Hollywood, CA 90069, United States","generic","","","Already tried#Bar#Burger#Brunch#Beers#Cocktails#Restaurant#Tasty!",""
"2021-12-20T04:47:14.962Z","Good Times","1611 N El Centro Ave Los Angeles, CA 90028 USA","restaurant","","","Already tried#Bar#Cocktails#California#Terrace",""
"2021-12-12T06:37:34.634Z","Jaxson","3231 Fillmore St, San Francisco, CA 94123, USA","bar","","","Bar#Restaurant#Tasty!",""
"2021-12-11T22:06:00.081Z","Las Positas Vineyards","1828 Wetmore Rd Livermore, CA 94550 USA","wine","","","Already tried#Bar#California#Cheese#Chic#Wine#Tasty!#Terrace#With a view",""
"2021-11-28T00:11:59.832Z","Vesta","2022 Broadway St Redwood City, CA 94063 USA","restaurant","","","California#Restaurant#Pizza#To try",""
"2021-11-28T00:10:39.110Z","Rustic House Oyster Bar & Grill","920 El Camino Real San Carlos, CA 94070 USA","generic","","","Already tried#Bar#California#Burger#Cocktails#Restaurant#Tasty!#Wine#Tapas#Terrace#Mexico",""
"2021-11-24T19:19:36.854Z","S Caffecito","Privada Agua Escondida Barrio de la Veracruz 40260 Taxco de Alarcón, Guerrero Mexico","restaurant","","","Restaurant#Tasty!#Terrace#Coffee#With a view",""
"2021-11-24T00:33:38.644Z","La Susheria","Calle Juan Ruíz de Alarcón 7 Taxco de Alarcón Centro 40200 Taxco de Alarcón, Guerrero Mexico","restaurant","","","Bar#Mexico#Tasty!#Restaurant",""
"2021-11-24T00:19:09.067Z","La Noche Estrellada","Calle del Arco 1 Barrio de San Marcos (Zona Centro) 40250 Taxco de Alarcón, Guerrero Mexico","restaurant","","","Bar#Terrace#With a view",""
"2021-11-18T05:14:05.262Z","Entre Tierras","Calle 4 Nte 410, Centro, 72000 Puebla, Pue., Mexico","restaurant","","","Chic#Restaurant#Tasty!#Mexico",""
"2021-11-13T04:04:46.966Z","The REFUGE San Carlos","963 Laurel St, San Carlos, CA 94070, United States","restaurant","","","Burger#California#Bar#Beers#Restaurant#Tasty!",""
"2021-11-10T17:52:04.275Z","Newport Coffee Company","104 McFadden Pl Newport Beach, CA 92663 USA","shopping","","","Coffee#California",""
"2021-11-08T02:11:11.169Z","WesBurger n' More","2240 Mission St, San Francisco, CA 94110, United States","restaurant","","","Burger#California#Meat#Restaurant#Tasty!#Already tried",""
